Index,Anime Index,Genre
1033,110,Feudal Japan
1034,110,Recap
1035,110,Samurai
1036,110,Swordplay
1037,110,Based on a Manga
1038,111,Sci Fi
1039,111,Seinen
1040,111,Cyberpunk
1041,111,Cyborgs
1042,111,Hacking
1043,111,Noir
1044,111,Based on a Manga
1045,112,Drama
1046,112,Fantasy
1047,112,Apprenticeship
1048,112,Cheats
1049,112,Isekai
1050,112,Magic
1051,112,Medieval
1052,112,Modern Knowledge
1053,112,Person in a Strange World
1054,112,Reincarnation
1055,112,Based on a Light Novel
1056,113,Action
1057,113,Horror
1058,113,Seinen
1059,113,Conspiracy
1060,113,England
1061,113,Europe
1062,113,Guns
1063,113,Master-Servant Relationship
1064,113,Non-Human Protagonists
1065,113,Overpowered Main Characters
1066,113,Religion
1067,113,Supernatural
1068,113,Vampires
1069,113,Based on a Manga
1070,114,Action
1071,114,Sci Fi
1072,114,Shounen
1073,114,Superheroes
1074,114,Superpowers
1075,114,Based on a Manga
1076,115,Action
1077,115,Drama
1078,115,Chinese Animation
1079,115,MMORPG
1080,115,RPG
1081,115,Tournaments
1082,115,Based on a Novel
1083,116,Action
1084,116,Shounen
1085,116,Chinese Animation
1086,116,Supernatural
1087,117,Comedy
1088,117,Ecchi
1089,117,Shounen
1090,117,Animeism
1091,117,Boarding House
1092,117,Cooking
1093,117,Culinary School
1094,117,Food and Beverage
1095,117,Neighbors
1096,117,School Life
1097,117,Based on a Manga
1098,118,Comedy
1099,118,Ecchi
1100,118,Shounen
1101,118,Boarding House
1102,118,Cooking
1103,118,Culinary School
1104,118,Food and Beverage
1105,118,Neighbors
1106,118,School Life
1107,118,Tournaments
1108,118,Based on a Manga
1109,119,Comedy
1110,119,Shounen
1111,119,Slice of Life
1112,119,Art
1113,119,Countryside
1114,119,Island
1115,119,Iyashikei
1116,119,Lifestyle Change
1117,119,Based on a Manga
1118,120,Action
1119,120,Adventure
1120,120,Drama
1121,120,Fantasy
1122,120,High Stakes Games
1123,120,War
1124,120,Based on a Light Novel
1125,121,Sci Fi
1126,121,Based on a Novel
1127,122,Action
1128,122,Drama
1129,122,Seinen
1130,122,Ancient China
1131,122,Historical
1132,122,Political
1133,122,War
1134,122,Based on a Manga
1135,123,Action
1136,123,Drama
1137,123,Shounen
1138,123,Ghosts
1139,123,Gods
1140,123,Japanese Mythology
1141,123,Non-Human Protagonists
1142,123,Supernatural
1143,123,Based on a Manga
1144,124,Drama
1145,124,Josei
1146,124,Romance
1147,124,Sports
1148,124,Love Triangle
1149,124,School Club
1150,124,School Life
1151,124,Tournaments
1152,124,Based on a Manga
1153,125,Shoujo
1154,125,Slice of Life
1155,125,Bodyguards
1156,125,Cats
1157,125,Countryside
1158,125,Iyashikei
1159,125,Japanese Mythology
1160,125,Orphans
1161,125,Supernatural
1162,125,Youkai
1163,125,Based on a Manga
1164,126,Action
1165,126,Fantasy
1166,126,Horror
1167,126,Shounen
1168,126,Dark Fantasy
1169,126,Isolated Society
1170,126,Military
1171,126,Outside World
1172,126,Overpowered Main Characters
1173,126,Post-apocalyptic
1174,126,Based on a Manga
1175,127,Comedy
1176,127,Sci Fi
1177,127,America
1178,127,Based on a Visual Novel
1179,128,Drama
1180,128,Josei
1181,128,Romance
1182,128,Adult Couples
1183,128,Animeism
1184,128,Apprenticeship
1185,128,Historical
1186,128,Love Triangle
1187,128,Rakugo
1188,128,Based on a Manga
1189,129,Drama
1190,129,Romance
1191,129,Shounen
1192,129,Music
1193,129,School Life
1194,129,Based on a Manga
1195,130,Action
1196,130,Adventure
1197,130,Comedy
1198,130,Mecha
1199,130,Sci Fi
1200,130,Combining Mecha
1201,130,Post-apocalyptic
1202,130,Super Robot
1203,130,Original Work
1204,131,Shounen
1205,131,19th Century
1206,131,Butlers
1207,131,Demons
1208,131,Europe
1209,131,Master-Servant Relationship
1210,131,Non-Human Protagonists
1211,131,Supernatural
1212,131,Zombies
1213,131,Based on a Manga
1214,132,Adventure
1215,132,Ecchi
1216,132,Fantasy
1217,132,High Stakes Games
1218,132,Isekai
1219,132,NEET
1220,132,Overpowered Main Characters
1221,132,Person in a Strange World
1222,132,PVP
1223,132,Royalty
1224,132,Siblings
1225,132,Based on a Light Novel
1226,133,Drama
1227,133,Romance
1228,133,Childhood Friends
1229,133,Coming of Age
1230,133,Ghosts
1231,133,Melancholy
1232,133,noitaminA
1233,133,Supernatural
1234,133,Unrequited Love
1235,133,Original Work
1236,134,Shounen
1237,134,Sports
1238,134,Volleyball
1239,134,Based on a Manga
1240,135,Drama
1241,135,Shounen
1242,135,Anime Industry
1243,135,Manga Industry
1244,135,Otaku Culture
1245,135,Voice Acting
1246,135,Writers
1247,135,Based on a Manga
1248,136,Comedy
1249,136,Ecchi
1250,136,Shounen
1251,136,Cooking
1252,136,Culinary School
1253,136,Food and Beverage
1254,136,School Life
1255,136,Tournaments
1256,136,Based on a Manga
1257,137,Action
1258,137,Adventure
1259,137,Shounen
1260,137,15th Century
1261,137,Curse
1262,137,Deal with the Devil
1263,137,Demons
1264,137,Feudal Japan
1265,137,Historical
1266,137,Samurai
1267,137,Supernatural
1268,137,War
1269,137,Based on a Manga
1270,138,Action
1271,138,Adventure
1272,138,Fantasy
1273,138,Shounen
1274,138,Demons
1275,138,Magic
1276,138,Medieval
1277,138,Non-Human Protagonists
1278,138,Overpowered Main Characters
1279,138,Royalty
1280,138,Superpowers
1281,138,Based on a Manga
1282,139,Action
1283,139,Fantasy
1284,139,Sci Fi
1285,139,Dark Fantasy
1286,139,Magic
1287,139,Overpowered Main Characters
1288,139,Person in a Strange World
1289,139,RPG
1290,139,Skeletons
1291,139,Trapped in a Video Game
1292,139,Virtual Reality
1293,139,Based on a Light Novel
1294,140,Action
1295,140,Fantasy
1296,140,Shoujo
1297,140,Dark Fantasy
1298,140,Isolated Society
1299,140,Military
1300,140,Outside World
1301,140,Post-apocalyptic
1302,140,Based on a Manga
1303,141,Adventure
1304,141,Drama
1305,141,Fantasy
1306,141,Romance
1307,141,Adult Couples
1308,141,Animal Characteristics
1309,141,Animal Transformation
1310,141,Economics
1311,141,God-Human Relationship
1312,141,Gods
