Index,Title,Type,Episodes,Ongoing,Release Season,Start Year,End Year
151,Steins;Gate 0,TV,23,false,Spring,2018-01-01 00:00:00,2018-01-01 00:00:00
152,Gintama: Aizome Kaori-hen,OVA,2,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
153,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"",1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
154,Maquia - When the Promised Flower Blooms,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
155,Magi: The Kingdom of Magic,TV,25,false,Fall,2013-01-01 00:00:00,2014-01-01 00:00:00
156,Zoku Owarimonogatari,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
157,Nausicaa of the Valley of the Wind,Movie,1,false,,1984-01-01 00:00:00,1984-01-01 00:00:00
158,Fate/stay night: Unlimited Blade Works 2,TV,13,false,Spring,2015-01-01 00:00:00,2015-01-01 00:00:00
159,Kids on the Slope,TV,12,false,Spring,2012-01-01 00:00:00,2012-01-01 00:00:00
160,Quan Zhi Gao Shou Movie: For the Glory,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
161,Monster,TV,74,false,Spring,2004-01-01 00:00:00,2005-01-01 00:00:00
162,Kuroko's Basketball,TV,25,false,Spring,2012-01-01 00:00:00,2012-01-01 00:00:00
163,Ouran High School Host Club,TV,26,false,Spring,2006-01-01 00:00:00,2006-01-01 00:00:00
164,Kaguya-sama: Love Is War,TV,12,false,Winter,2019-01-01 00:00:00,2019-01-01 00:00:00
165,My Neighbor Totoro,Movie,1,false,,1988-01-01 00:00:00,1988-01-01 00:00:00
166,Grave of the Fireflies,Movie,1,false,,1988-01-01 00:00:00,1988-01-01 00:00:00
167,Toradora!,TV,25,false,Fall,2008-01-01 00:00:00,2009-01-01 00:00:00
168,Baccano!,TV,13,false,Summer,2007-01-01 00:00:00,2007-01-01 00:00:00
169,Fullmetal Alchemist,TV,51,false,Fall,2003-01-01 00:00:00,2004-01-01 00:00:00
170,Doukyuusei,Movie,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
171,The Girl Who Leapt Through Time,Movie,1,false,,2006-01-01 00:00:00,2006-01-01 00:00:00
172,Sword of the Stranger,Movie,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
173,Fate/Zero,TV,13,false,Fall,2011-01-01 00:00:00,2011-01-01 00:00:00
174,Major Season 3,TV,26,false,Winter,2007-01-01 00:00:00,2007-01-01 00:00:00
175,Tengen Toppa Gurren Lagann: Lagann-hen,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
176,Gintama: Yorinuki Gintama-san on Theater 2D,Other,2,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
177,Samurai Champloo,TV,26,false,Spring,2004-01-01 00:00:00,2005-01-01 00:00:00
178,A Place Further Than the Universe,TV,13,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
179,Snow White with the Red Hair 2nd Season,TV,12,false,Winter,2016-01-01 00:00:00,2016-01-01 00:00:00
180,Violet Evergarden Special,DVD Special,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
181,Major Season 2,TV,26,false,Fall,2005-01-01 00:00:00,2006-01-01 00:00:00
182,Sora no Aosa wo Shiru Hito yo,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
183,Fate/stay night: Unlimited Blade Works,TV,12,false,Fall,2014-01-01 00:00:00,2014-01-01 00:00:00
184,Silver Spoon 2nd Season,TV,11,false,Winter,2014-01-01 00:00:00,2014-01-01 00:00:00
185,Psycho-Pass,TV,22,false,Fall,2012-01-01 00:00:00,2013-01-01 00:00:00
186,Major Season 6,TV,25,false,Spring,2010-01-01 00:00:00,2010-01-01 00:00:00
187,Bungou Stray Dogs 3rd Season,TV,12,false,Spring,2019-01-01 00:00:00,2019-01-01 00:00:00
188,Black Butler: Book of Murder,OVA,2,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
189,Ping Pong The Animation,TV,11,false,Spring,2014-01-01 00:00:00,2014-01-01 00:00:00
190,The Seven Deadly Sins,TV,24,false,Fall,2014-01-01 00:00:00,2015-01-01 00:00:00
191,Kingdom 2,TV,39,false,Summer,2013-01-01 00:00:00,2014-01-01 00:00:00
192,One Piece Movie 14: Stampede,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
193,Nodame Cantabile,TV,23,false,Winter,2007-01-01 00:00:00,2007-01-01 00:00:00
194,Black Butler: Book of Circus,TV,10,false,Summer,2014-01-01 00:00:00,2014-01-01 00:00:00
195,Summer Wars,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
196,Owarimonogatari,TV,12,false,Fall,2015-01-01 00:00:00,2015-01-01 00:00:00
197,Cowboy Bebop: The Movie,Movie,1,false,,2001-01-01 00:00:00,2001-01-01 00:00:00
198,Dragon Ball Super Movie: Broly,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
199,Rainbow: Nisha Rokubou no Shichinin,TV,26,false,Spring,2010-01-01 00:00:00,2010-01-01 00:00:00
200,Major Season 4,TV,26,false,Winter,2008-01-01 00:00:00,2008-01-01 00:00:00
201,Star Blazers: Space Battleship Yamato 2199,TV,26,false,Spring,2012-01-01 00:00:00,2013-01-01 00:00:00
202,When They Cry: Kai,TV,24,false,Summer,2007-01-01 00:00:00,2007-01-01 00:00:00
203,Nodame Cantabile: Finale,TV,11,false,Winter,2010-01-01 00:00:00,2010-01-01 00:00:00
204,Ace of the Diamond: Second Season,TV,51,false,Spring,2015-01-01 00:00:00,2016-01-01 00:00:00
205,Run with the Wind,TV,23,false,Fall,2018-01-01 00:00:00,2019-01-01 00:00:00
206,Re:ZERO -Starting Life in Another World-,TV,25,false,Spring,2016-01-01 00:00:00,2016-01-01 00:00:00
207,Bungou Stray Dogs 2nd Season,TV,12,false,Fall,2016-01-01 00:00:00,2016-01-01 00:00:00
208,Kishibe Rohan wa Ugokanai: The Run,OVA,1,false,,2020-01-01 00:00:00,2020-01-01 00:00:00
209,Kizumonogatari Movie 1: Tekketsu,Movie,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
210,Gintama: Shinyaku Benizakura-hen Special,DVD Special,1,false,,2010-01-01 00:00:00,2010-01-01 00:00:00
211,The Ancient Magus' Bride: Those Awaiting a Star,OVA,3,false,,2016-01-01 00:00:00,2017-01-01 00:00:00
212,Kuroko's Basketball: Last Game,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
213,Mobile Suit Gundam: The Origin,OVA,6,false,,2015-01-01 00:00:00,2018-01-01 00:00:00
214,Hunter x Hunter OVA 3: Greed Island Final,OVA,14,false,,2004-01-01 00:00:00,2004-01-01 00:00:00
215,Legend of the Galactic Heroes: Die Neue These Second 2,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
216,"Kamisama Kiss: Kamisama, Shiawase ni Naru",OVA,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
217,Time of Eve Movie,Movie,1,false,,2010-01-01 00:00:00,2010-01-01 00:00:00
218,Major Season 1,TV,26,false,Fall,2004-01-01 00:00:00,2005-01-01 00:00:00
219,KonoSuba â€“ God's blessing on this wonderful world! 2,TV,10,false,Winter,2017-01-01 00:00:00,2017-01-01 00:00:00
220,K-On! Movie,Movie,1,false,,2011-01-01 00:00:00,2011-01-01 00:00:00
221,One Piece Film: Z,Movie,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
222,Kuroko's Basketball: The Greatest Present,DVD Special,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
223,Castlevania Season 2,Web,8,false,Fall,2018-01-01 00:00:00,2018-01-01 00:00:00
224,Yona of the Dawn,TV,24,false,Fall,2014-01-01 00:00:00,2015-01-01 00:00:00
225,Major: World Series,OVA,2,false,,2011-01-01 00:00:00,2012-01-01 00:00:00
226,One Outs,TV,25,false,Fall,2008-01-01 00:00:00,2009-01-01 00:00:00
227,Beastars,TV,12,false,Fall,2019-01-01 00:00:00,2019-01-01 00:00:00
228,Cross Game,TV,50,false,Spring,2009-01-01 00:00:00,2010-01-01 00:00:00
229,The Ancient Magus' Bride,TV,24,false,Fall,2017-01-01 00:00:00,2018-01-01 00:00:00
230,Yuri!!! on Ice,TV,12,false,Fall,2016-01-01 00:00:00,2016-01-01 00:00:00
231,Puella Magi Madoka Magica,TV,12,false,Winter,2011-01-01 00:00:00,2011-01-01 00:00:00
232,My Hero Academia The Movie: Two Heroes,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
233,ReLIFE: Kanketsu-hen,OVA,4,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
234,Haikyuu!! Movie 4: Battle of Concepts,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
235,Detective Conan: Episode One - The Great Detective Turned Small,TV Special,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
