Index,Anime Index,Status,Viewers,Rating
503,128,Watched,4038,4.471
504,128,Watching,882,4.471
505,128,To-Watch,5500,4.471
506,128,Dropped,496,4.471
507,129,Watched,1791,4.469
508,129,Watching,381,4.469
509,129,To-Watch,1282,4.469
510,129,Dropped,35,4.469
511,130,Watched,61088,4.469
512,130,Watching,5472,4.469
513,130,To-Watch,17070,4.469
514,130,Dropped,3897,4.469
515,131,Watched,7576,4.467
516,131,Watching,356,4.467
517,131,To-Watch,8080,4.467
518,131,Dropped,59,4.467
519,132,Watched,74587,4.468
520,132,Watching,4367,4.468
521,132,To-Watch,13896,4.468
522,132,Dropped,2053,4.468
523,133,Watched,44993,4.467
524,133,Watching,2083,4.467
525,133,To-Watch,15224,4.467
526,133,Dropped,996,4.467
527,134,Watched,3448,4.467
528,134,Watching,117,4.467
529,134,To-Watch,2307,4.467
530,134,Dropped,22,4.467
531,135,Watched,15547,4.465
532,135,Watching,1203,4.465
533,135,To-Watch,5268,4.465
534,135,Dropped,403,4.465
535,136,Watched,15034,4.465
536,136,Watching,2133,4.465
537,136,To-Watch,5008,4.465
538,136,Dropped,134,4.465
539,137,Watched,11331,4.465
540,137,Watching,5573,4.465
541,137,To-Watch,8484,4.465
542,137,Dropped,654,4.465
543,138,Watched,24912,4.463
544,138,Watching,4593,4.463
545,138,To-Watch,8806,4.463
546,138,Dropped,433,4.463
547,139,Watched,21012,4.463
548,139,Watching,2246,4.463
549,139,To-Watch,5075,4.463
550,139,Dropped,184,4.463
551,140,Watched,16949,4.462
552,140,Watching,840,4.462
553,140,To-Watch,9246,4.462
554,140,Dropped,82,4.462
555,141,Watched,28933,4.46
556,141,Watching,1563,4.46
557,141,To-Watch,10820,4.46
558,141,Dropped,506,4.46
559,142,Watched,4567,4.459
560,142,Watching,180,4.459
561,142,To-Watch,1584,4.459
562,142,Dropped,34,4.459
563,143,Watched,24214,4.459
564,143,Watching,221,4.459
565,143,To-Watch,9217,4.459
566,143,Dropped,86,4.459
567,144,Watched,18940,4.458
568,144,Watching,172,4.458
569,144,To-Watch,3483,4.458
570,144,Dropped,70,4.458
571,145,Watched,11050,4.457
572,145,Watching,104,4.457
573,145,To-Watch,2092,4.457
574,145,Dropped,37,4.457
575,146,Watched,37793,4.455
576,146,Watching,1109,4.455
577,146,To-Watch,8374,4.455
578,146,Dropped,352,4.455
579,147,Watched,176,4.456
580,147,Watching,32,4.456
581,147,To-Watch,82,4.456
582,147,Dropped,0,4.456
583,148,Watched,15305,4.455
584,148,Watching,2562,4.455
585,148,To-Watch,7215,4.455
586,148,Dropped,568,4.455
587,149,Watched,19316,4.453
588,149,Watching,1535,4.453
589,149,To-Watch,5731,4.453
590,149,Dropped,222,4.453
591,150,Watched,15419,4.453
592,150,Watching,2694,4.453
593,150,To-Watch,4889,4.453
594,150,Dropped,749,4.453
595,151,Watched,7459,4.452
596,151,Watching,2718,4.452
597,151,To-Watch,9628,4.452
598,151,Dropped,401,4.452
599,152,Watched,2387,4.451
600,152,Watching,136,4.451
601,152,To-Watch,1685,4.451
602,152,Dropped,26,4.451
603,153,Watched,3668,4.451
604,153,Watching,63,4.451
605,153,To-Watch,2389,4.451
606,153,Dropped,39,4.451
607,154,Watched,3747,4.448
608,154,Watching,189,4.448
609,154,To-Watch,5164,4.448
610,154,Dropped,36,4.448
611,155,Watched,29514,4.446
612,155,Watching,2271,4.446
613,155,To-Watch,8762,4.446
614,155,Dropped,747,4.446
615,156,Watched,1498,4.446
616,156,Watching,122,4.446
617,156,To-Watch,2710,4.446
618,156,Dropped,15,4.446
619,157,Watched,35436,4.444
620,157,Watching,184,4.444
621,157,To-Watch,7413,4.444
622,157,Dropped,128,4.444
623,158,Watched,21539,4.444
624,158,Watching,1280,4.444
625,158,To-Watch,6571,4.444
626,158,Dropped,210,4.444
627,159,Watched,12138,4.444
628,159,Watching,962,4.444
629,159,To-Watch,7701,4.444
630,159,Dropped,471,4.444
631,160,Watched,957,4.439
632,160,Watching,82,4.439
633,160,To-Watch,1470,4.439
634,160,Dropped,6,4.439
635,161,Watched,15902,4.441
636,161,Watching,3882,4.441
637,161,To-Watch,16754,4.441
638,161,Dropped,2269,4.441
639,162,Watched,35630,4.441
640,162,Watching,3928,4.441
641,162,To-Watch,8623,4.441
642,162,Dropped,1240,4.441
643,163,Watched,85994,4.44
644,163,Watching,4682,4.44
645,163,To-Watch,11288,4.44
646,163,Dropped,3024,4.44
647,164,Watched,14379,4.44
648,164,Watching,3437,4.44
649,164,To-Watch,7068,4.44
650,164,Dropped,689,4.44
651,165,Watched,59611,4.438
652,165,Watching,316,4.438
653,165,To-Watch,10891,4.438
654,165,Dropped,96,4.438
655,166,Watched,34313,4.438
656,166,Watching,254,4.438
657,166,To-Watch,11506,4.438
658,166,Dropped,205,4.438
659,167,Watched,78531,4.437
660,167,Watching,6036,4.437
661,167,To-Watch,18010,4.437
662,167,Dropped,2936,4.437
663,168,Watched,30792,4.437
664,168,Watching,2818,4.437
665,168,To-Watch,17094,4.437
666,168,Dropped,1847,4.437
667,169,Watched,111770,4.437
668,169,Watching,6633,4.437
669,169,To-Watch,15472,4.437
670,169,Dropped,4445,4.437
671,170,Watched,7220,4.435
672,170,Watching,178,4.435
673,170,To-Watch,4695,4.435
674,170,Dropped,71,4.435
675,171,Watched,48372,4.435
676,171,Watching,403,4.435
677,171,To-Watch,16082,4.435
678,171,Dropped,212,4.435
679,172,Watched,18376,4.435
680,172,Watching,278,4.435
681,172,To-Watch,9786,4.435
682,172,Dropped,70,4.435
683,173,Watched,43309,4.435
684,173,Watching,3145,4.435
685,173,To-Watch,16982,4.435
686,173,Dropped,1215,4.435
687,174,Watched,5683,4.434
688,174,Watching,127,4.434
689,174,To-Watch,1097,4.434
690,174,Dropped,44,4.434
691,175,Watched,9207,4.433
692,175,Watching,103,4.433
693,175,To-Watch,4566,4.433
694,175,Dropped,54,4.433
695,176,Watched,1479,4.433
696,176,Watching,32,4.433
697,176,To-Watch,1229,4.433
698,176,Dropped,19,4.433
699,177,Watched,56052,4.432
700,177,Watching,3952,4.432
701,177,To-Watch,12813,4.432
702,177,Dropped,2054,4.432
703,178,Watched,5203,4.431
704,178,Watching,964,4.431
705,178,To-Watch,5184,4.431
