Index,Anime Index,Warning
1211,979,None
1212,980,None
1213,981,None
1214,982,None
1215,983,None
1216,984,None
1217,985,None
1218,986,None
1219,987,None
1220,988,None
1221,989,Explicit Sex
1222,990,None
1223,991,Violence
1224,992,None
1225,993,None
1226,994,None
1227,995,Violence
1228,996,None
1229,997,None
1230,998,None
1231,999,None
1232,1000,Explicit Violence
1233,1000,Mature Themes
1234,1000,Physical Abuse
1235,1001,None
1236,1002,None
1237,1003,None
1238,1004,None
1239,1005,Mature Themes
1240,1005,Physical Abuse
1241,1006,None
1242,1007,None
1243,1008,Mature Themes
1244,1008,Suicide
1245,1008,Violence
1246,1009,None
1247,1010,Violence
1248,1011,Violence
1249,1012,Explicit Violence
1250,1013,Explicit Violence
1251,1014,Nudity
1252,1015,Violence
1253,1016,None
1254,1017,None
1255,1018,None
1256,1019,None
1257,1020,None
1258,1021,None
1259,1022,None
1260,1023,None
1261,1024,None
1262,1025,None
1263,1026,Sexual Content
1264,1027,Violence
1265,1028,Explicit Violence
1266,1029,None
1267,1030,None
1268,1031,None
1269,1032,None
1270,1033,None
1271,1034,None
1272,1035,Nudity
1273,1035,Sexual Content
1274,1036,None
1275,1037,None
1276,1038,None
1277,1039,Drug Use
1278,1039,Mature Themes
1279,1039,Violence
1280,1040,None
1281,1041,Nudity
1282,1041,Sexual Content
1283,1042,None
1284,1043,None
1285,1044,None
1286,1045,None
1287,1046,Nudity
1288,1047,None
1289,1048,None
1290,1049,None
1291,1050,None
1292,1051,None
1293,1052,None
1294,1053,None
1295,1054,None
1296,1055,None
1297,1056,None
1298,1057,Violence
1299,1058,None
1300,1059,None
1301,1060,None
1302,1061,None
1303,1062,None
1304,1063,None
1305,1064,None
1306,1065,None
1307,1066,None
1308,1067,Violence
1309,1068,Nudity
1310,1068,Sexual Content
1311,1069,None
1312,1070,None
1313,1071,None
1314,1072,None
1315,1073,Explicit Violence
1316,1074,None
1317,1075,None
1318,1076,None
1319,1077,None
1320,1078,None
1321,1079,Sexual Content
1322,1079,Violence
1323,1080,Mature Themes
1324,1081,None
1325,1082,None
1326,1083,None
1327,1084,None
1328,1085,None
1329,1086,None
1330,1087,None
1331,1088,None
1332,1089,None
1333,1090,None
1334,1091,None
1335,1092,None
1336,1093,Nudity
1337,1093,Sexual Content
1338,1094,Violence
1339,1095,None
1340,1096,None
1341,1097,None
1342,1098,None
1343,1099,None
1344,1100,None
1345,1101,None
1346,1102,None
1347,1103,None
1348,1104,None
1349,1105,None
1350,1106,None
1351,1107,Nudity
1352,1107,Sexual Content
1353,1108,None
1354,1109,None
1355,1110,None
